Number	Reference	Size	Mode	LowAlt	HighAlt	DiffAlt	BVO2	BVO2SD	AVO2	AVO2SD	Altitude	Swithin	ES	d	Vd_Independent	Vd_Corr	J	G	Vg_Independent	Vg_Corr
11	"Adams, 1975"	6	treadmill	0	2300	2300	74	1.76	61.42		2.3	1.244507935	-12.58	-10.10841285	4.590833764	4.340833764	0.842105263	-8.512347663	3.255549706	3.078264387
11	"Adams, 1975"	6	treadmill	0	2300	2300	72.4	3.21	60		2.3	2.269812768	-12.4	-5.463005662	1.576851286	1.326851286	0.842105263	-4.600425821	1.11821033	0.940925012
43	"Anderson, 1985"	7	cycle	0	2500	2500	44.6	1.6	42.1	2	2.5	1.811077028	-2.5	-1.380394076	0.353767422	0.139481707	0.869565217	-1.200342675	0.267498996	0.10546821
76	"Angermann, 2006"	7	cycle	560	3200	2640	57.3	3.7	52.5	3	3.2	3.368233959	-4.8	-1.425079154	0.358244664	0.14395895	0.869565217	-1.239199264	0.270884434	0.108853648
35	"Banister, 1978"	5	cycle	0	4340	4340	45.1	5	36.9	2.8	4.3	4.052159918	-8.2	-2.023612139	0.604750304	0.304750304	0.8	-1.618889711	0.387040195	0.195040195
45	"Barstow, 1989"	7	cycle	0	2660	2660	44.13	8.258064516	38.45	6.967741935	2.7	7.640191661	-5.68	-0.743436847	0.305453512	0.091167798	0.869565217	-0.646466823	0.230966739	0.068935953
54	"Beidleman, 1999                     8                                                                                                                                                                                                                                                                                                                                                                                                                          "	8	treadmill	50	4300	4250	46.8	4	33.3	3.7	4.3	3.85292097	-13.5	-3.50383517	0.633651903	0.446151903	0.888888889	-3.114520151	0.500663232	0.352515084
48	"Benoit, 1992"	9	cycle	500	5400	4900	48.4	9	30.8	5	5.4	7.280109889	-17.6	-2.417545925	0.384570231	0.217903564	0.903225806	-2.183589868	0.313738877	0.177769401
48	"Benoit, 1992"	9	cycle	500	5400	4900	47.5	5.5	29.2	2.7	5.4	4.332435804	-18.3	-4.223951797	0.717826911	0.551160244	0.903225806	-3.815182268	0.585615294	0.449645818
7	"Benoit, 1995"	16	cycle	0	5400	5400	50.7	6.2	31	3.8	5.4	5.141984053	-19.7	-3.83120597	0.354345925	0.260595925	0.949152542	-3.636398887	0.319226895	0.234768406
3	"Benoit, 2003"	17	cycle	0	5720	5720	41	1.9	26.9	1.5	5.7	1.711724277	-14.1	-8.237307954	1.115488858	1.027253564	0.952380952	-7.845055194	1.011781277	0.931749264
3	"Benoit, 2003"	17	cycle	0	5720	5720	50.8	3.9	31.4	3	5.7	3.479224051	-19.4	-5.575955935	0.574871832	0.486636538	0.952380952	-5.310434224	0.521425698	0.441393685
3	"Benoit, 2003"	12	cycle	0	5720	5720	64.2	3.3	36	3.6	5.7	3.45325933	-28.2	-8.166198164	1.555974843	1.430974843	0.930232558	-7.596463408	1.346435775	1.238269199
5	"Billat, 2003"	8	treadmill	0	2400	2400	57.3	3.3	48.4	2.7	2.4	3.014962686	-8.9	-2.951943664	0.522311606	0.334811606	0.888888889	-2.623949924	0.412690652	0.264542504
62	"Bocqueraz, 2004 "	13	cycle	250	4400	4150	68.4	6.94203156	49.5	1.402985075	4.4	5.008002062	-18.9	-3.773960108	0.427745671	0.312361056	0.936170213	-3.533069037	0.37488258	0.273757811
46	"Bouissou, 1986"	8	cycle	Not stated	3000	3000	55.5	3.676955262	45.8	3.959797975	3	3.820994635	-9.7	-2.538606024	0.451391267	0.263891267	0.888888889	-2.256538688	0.356654828	0.20850668
61	"Bourdillon,2009"	5	cycle	0*	1000	1000	59.6	2.8	53.2	2.9	1	2.850438563	-6.4	-2.245268529	0.652061538	0.352061538	0.8	-1.796214823	0.417319385	0.225319385
61	"Bourdillon,2009"	6	cycle	0*	1000	1000	46.1	2.8	45.3	5.3	1	4.238513891	-0.8	-0.1887454	0.334817701	0.084817701	0.842105263	-0.158943495	0.237433051	0.060147733
17	"Calbet, 2003"	9	cycle	0	5260	5300	55.4	10.13513514	29.5	4.054054054	5.3	7.718688962	-25.9	-3.355492122	0.534981316	0.368314649	0.903225806	-3.030767078	0.436446776	0.3004773
65	"Castellani, 2010"	7	cycle	152	3048	2896	44.1	4.9	38.6	5.5	3	5.208646657	-5.5	-1.055936477	0.32553578	0.111250066	0.869565217	-0.918205632	0.246151819	0.084121033
32	"Chapmann, 1999"	8	treadmill	0	1000	1000	71.1	5.3	68.1	5	1	5.152184003	-3	-0.582277341	0.260595216	0.073095216	0.888888889	-0.517579859	0.205902393	0.057754244
32	"Chapmann, 1999"	6	treadmill	0	1000	1000	67.2	7.6	66.2	8.4	1	8.009993758	-1	-0.124844042	0.333982751	0.083982751	0.842105263	-0.105131825	0.236840954	0.059555635
73	"Clark, 2007"	10	cycle	200	1200	1000	70.7	8.648648649	64.9	7.837837838	1.2	8.253206208	-5.8	-0.70275719	0.212346692	0.062346692	0.914285714	-0.642520859	0.1775045	0.052116745
52	"Cymerman, 1981"	5	cycle	50	4300	4250	42.2	5.2	35.6	3.801315562	4.3	4.554667935	-6.6	-1.449062828	0.504989154	0.204989154	0.8	-1.159250262	0.323193059	0.131193059
47	"Desplanches, 1993"	5	cycle	Not stated	4800	4580	55.6	7.811591188	34.5	2.929346695	4.8	5.899238466	-21.1	-3.576732848	1.039650893	0.739650893	0.8	-2.861386278	0.665376572	0.473376572
47	"Desplanches, 1993"	5	cycle	Not stated	4800	4580	55.7	2.548225615	36	2.229697413	4.8	2.394264432	-19.7	-8.227996765	3.784996538	3.484996538	0.8	-6.582397412	2.422397784	2.230397784
42	"Drinkwater, 1979"	8	treadmill	0	4100	4100	43.7	3.959797975	32	3.39411255	4.1	3.687817783	-11.7	-3.172607945	0.564545037	0.377045037	0.888888889	-2.820095951	0.446060276	0.297912128
78	"Esposito, 1997"	8	cycle	?	4838	5000	43.9	9.899494937	28.7	3.959797975	4.8	7.53923073	-15.2	-2.016120814	0.377023223	0.189523223	0.888888889	-1.79210739	0.297894892	0.149746744
15	"Fagraeus, 1973"	12	cycle	0	3290	3290	49.9	17.38085828	42.93	15.4496518	3.3	16.44363061	-6.97	-0.423872329	0.170409745	0.045409745	0.930232558	-0.394299841	0.14746111	0.039294533
60	"Faoro, 2007"	14	cycle	?	5629	5620	45	11.22497216	25	7.483314774	5.6	9.539392014	-20	-2.096569673	0.221350078	0.114207221	0.941176471	-1.973242045	0.19607481	0.101166258
77	"Faoro, 2009"	11	cycle	?	4345	4340	47	6	35	7	4.3	6.519202405	-12	-1.840715973	0.258823529	0.122459893	0.923076923	-1.699122437	0.220536025	0.104344524
36	"Ferretti, 1997"	5	cycle	355	1560	1205	42.1	5.813776741	39.1	5.142956348	1.6	5.4886246	-3	-0.546585022	0.414937759	0.114937759	0.8	-0.437268018	0.265560166	0.073560166
36	"Ferretti, 1997"	5	cycle	355	1560	1205	62.1	4.024922359	56.7	5.366563146	1.6	4.74341649	-5.4	-1.138419958	0.4648	0.1648	0.8	-0.910735966	0.297472	0.105472
31	"Friedmann, 2004"	11	treadmill	120	2500	2380	67.8	6.4	54.2	3.5	2.5	5.15800349	-13.6	-2.6366791	0.339819924	0.203456288	0.923076923	-2.433857631	0.289550705	0.173359204
75	"Friedmann, 2005"	20	treadmill	120	2500	2380	68	4.3	53.1	2.9	2.5	3.667424164	-14.9	-4.062797029	0.306328996	0.231328996	0.96	-3.900285148	0.282312803	0.213192803
71	"Fukuda, 2010"	9	cycle	0*	3000	3000	46	6.045454545	41.8	4.5	3	5.329048726	-4.2	-0.788133158	0.239476497	0.07280983	0.903225806	-0.711862207	0.195368963	0.059399487
67	"Fulco, 2009"	10	cycle	0	4300	4300	46.6	8.716534576	34.5	3.608239894	4.3	6.670733473	-12.1	-1.813893487	0.28225524	0.13225524	0.914285714	-1.658416902	0.235942339	0.110554584
14	"Fulco,1988"	7	cycle	50	4300	4250	50.14	9.475142436	37.19	5.101999773	4.3	7.609491634	-12.95	-1.701821964	0.389149928	0.174864214	0.869565217	-1.479845186	0.294253254	0.132222468
40	"Gavin, 1998"	6	cycle	ns	4000	3590	63.7	3.7	42.1	2.3	4	3.08058436	-21.6	-7.01165671	2.381805409	2.131805409	0.842105263	-5.904553019	1.689036523	1.511751204
40	"Gavin, 1998"	7	cycle	ns	4000	3590	60.4	4.8	43.8	4.7	4	4.750263151	-16.6	-3.494543244	0.72185116	0.507565446	0.869565217	-3.038733256	0.545823183	0.383792398
27	"Gore, 1996"	9	cycle	168	748	580	51	9	48.5	2.04865557	0.7	6.526752242	-2.5	-0.3830389	0.226297744	0.059631078	0.903225806	-0.345970619	0.184617515	0.048648038
27	"Gore, 1996"	11	cycle	168	748	580	77	3.31662479	71.4	1.120448179	0.7	2.475419572	-5.6	-2.262242758	0.298130507	0.16176687	0.923076923	-2.088224084	0.254028361	0.13783686
6	"Gore, 1997"	10	cycle	0	580	580	72.3	6.32455532	65	5.242792473	0.6	5.808910092	-7.3	-1.256690134	0.239481752	0.089481752	0.914285714	-1.148973837	0.200187195	0.07479944
6	"Gore, 1997"	10	cycle	0	580	580	60.8	6.32455532	58.6	7.020083604	0.6	6.681376123	-2.2	-0.329273485	0.202710526	0.052710526	0.914285714	-0.301050043	0.169449452	0.044061697
50	"Greenleaf, 1969"	3	cycle	0	4000	4000	61.4	5.1	41.8	3.5	4	4.373785546	-19.6	-4.481243946	2.340128942	1.840128942	0.571428571	-2.560710826	0.764123736	0.60085843
49	"Hartley, 1973"	7	cycle	0	4120	4120	40.4	4.92	30.4	3.036730343	4.1	4.088283942	-10	-2.446014059	0.499392313	0.285106599	0.869565217	-2.126968747	0.377612335	0.215581549
25	"Hogan, 1983"	6	cycle	0	1710	1710	46.8	3	42.95	38.53506435	1.7	27.33085422	-3.85	-0.140866435	0.33416014	0.08416014	0.842105263	-0.118624366	0.236966747	0.059681429
37	"Hopkins, 2003"	6	cycle	0	4200	4200	45.2	8.818163074	36.6	6.613622306	4.2	7.794228634	-8.6	-1.103380514	0.384060357	0.134060357	0.842105263	-0.929162538	0.272353051	0.095067732
33	"Horstman, 1979"	20	cycle	55	4300	4245	48.8	5.366563146	39.1	4.024922359	4.3	4.74341649	-9.7	-2.044939554	0.152272222	0.077272222	0.96	-1.963141972	0.14033408	0.07121408
51	"Horstman, 1980"	9	treadmill	50	4300	4250	50.6	5.1	35.3	1.4	4.3	3.73965239	-15.3	-4.091289351	0.687184682	0.520518015	0.903225806	-3.695358123	0.560616848	0.424647372
22	"Hughes, 1968"	4	cycle	0	2190	2190	35.79	5.14619883	34.04	5.380116959	2.2	5.264457279	-1.75	-0.332417932	0.506906355	0.131906355	0.727272727	-0.241758496	0.268115758	0.069768651
63	"Kjaergaard, 2007"	14	cycle	?	4048	4060	36.7	6	30.4	3.9	4	5.060138338	-6.3	-1.24502525	0.170537283	0.063394426	0.941176471	-1.171788471	0.151064168	0.056155616
16	"Knuttgen, 1973"	5	cycle	0	4000	4000	52	5.150753769	39.32	2.889447236	4	4.176072899	-12.68	-3.036345463	0.860969689	0.560969689	0.8	-2.42907637	0.551020601	0.359020601
8	"Koistinen, 1995"	12	cycle	15	3000	2985	57.4	7.1	46.6	6.9	3	7.000714249	-10.8	-1.542699733	0.216248385	0.091248385	0.930232558	-1.435069519	0.18712678	0.078960203
26	"Lawler, 1988"	13	cycle	0	3000	3000	64.5	2.4	51.1	2	3	2.209072203	-13.4	-6.065894985	0.861443884	0.746059269	0.936170213	-5.678710199	0.754982055	0.653857286
26	"Lawler, 1988"	13	cycle	0	3000	3000	45	2.2	40.4	1.5	3	1.882817038	-4.6	-2.443147638	0.268634046	0.15324943	0.936170213	-2.287202044	0.235434818	0.134310049
55	"Levine, 1992"	7	cycle	?	2500	2500	42.6	7.408103671	37.57	8.693182879	2.5	8.076243823	-5.03	-0.622814282	0.299567772	0.085282058	0.869565217	-0.541577637	0.226516274	0.064485488
55	"Levine, 1992"	14	cycle	?	2500	2500	43.4	6.360817558	37.8	9.073919483	2.5	7.835688061	-5.6	-0.714678782	0.15197796	0.044835103	0.941176471	-0.672638854	0.134624075	0.039715524
74	"Levitan, 1982"	20	treadmill	0	2440	2440	40.41	7.97	37.06	6.48	2.4	7.263308475	-3.35	-0.461222322	0.102659075	0.027659075	0.96	-0.442773429	0.094610604	0.025490604
12	"Linnarsson, 1974"	6	cycle	0	3290	3290	52.1	5.225578118	45.1	3.592584956	3.3	4.484045792	-7	-1.561090213	0.434875111	0.184875111	0.842105263	-1.314602285	0.30838789	0.131102571
